IncidentID,Age,TimeOfDay,DayOfWeek,WeatherCondition,Distraction,Speeding,SeatbeltUsed,Fatality
67,19,Morning,Saturday,Clear,Passenger,No,No,Yes
68,17,Afternoon,Tuesday,Foggy,None,No,No,Yes
69,18,Morning,Thursday,Rainy,Passenger,Yes,No,No
70,16,Night,Monday,Clear,Eating/Drinking,No,No,Yes
71,18,Evening,Sunday,Rainy,None,Yes,No,No
72,16,Morning,Thursday,Clear,Eating/Drinking,No,Yes,Yes
73,16,Evening,Tuesday,Snowy,Music/Radio,Yes,Yes,Yes
74,17,Night,Thursday,Rainy,Passenger,Yes,Yes,Yes
75,17,Evening,Thursday,Clear,Passenger,Yes,No,Yes
76,16,Morning,Tuesday,Foggy,Passenger,No,Yes,Yes
77,18,Afternoon,Thursday,Clear,Passenger,Yes,No,Yes
78,19,Night,Tuesday,Clear,Passenger,No,No,Yes
79,18,Evening,Monday,Windy,Passenger,No,Yes,Yes
80,16,Morning,Wednesday,Foggy,None,No,No,No
81,16,Evening,Monday,Rainy,Music/Radio,No,Yes,Yes
82,17,Night,Wednesday,Foggy,Eating/Drinking,Yes,Yes,Yes
83,18,Evening,Wednesday,Rainy,Phone,Yes,No,Yes
84,17,Night,Thursday,Windy,Passenger,No,Yes,No
85,18,Morning,Tuesday,Snowy,Passenger,No,Yes,Yes
86,16,Afternoon,Sunday,Foggy,Passenger,No,Yes,Yes
87,18,Afternoon,Saturday,Clear,Passenger,No,No,Yes
88,17,Night,Sunday,Rainy,Eating/Drinking,No,Yes,No
89,16,Morning,Thursday,Snowy,Passenger,No,Yes,Yes
90,17,Night,Friday,Rainy,None,No,No,No
91,17,Night,Saturday,Foggy,Passenger,No,No,No
92,18,Night,Wednesday,Snowy,None,No,No,No
93,18,Evening,Monday,Rainy,Phone,Yes,Yes,No
94,17,Morning,Friday,Windy,Eating/Drinking,Yes,No,Yes
95,17,Night,Thursday,Snowy,Phone,Yes,No,No
96,18,Evening,Sunday,Rainy,Music/Radio,No,No,No
97,16,Evening,Sunday,Windy,Eating/Drinking,Yes,No,No
98,17,Afternoon,Monday,Foggy,None,No,No,No
99,19,Night,Sunday,Foggy,Phone,No,Yes,No
100,17,Afternoon,Sunday,Clear,Phone,Yes,No,Yes
